0 -70 -70 -70 -70 -70 -70 -70 -70 -70 -70 -70
0.01 -70.0019 -70.0033 -70.0038 -70.0038 -70.0044 -70.0045 -70.0045 -70.0045 -70.0041 -70.0037 -70.0034
0.02 -70.0036 -70.0057 -70.0067 -70.0067 -70.0079 -70.0082 -70.0082 -70.0083 -70.0078 -70.0074 -70.007
0.03 -70.0052 -70.0078 -70.0091 -70.0091 -70.0108 -70.0113 -70.0113 -70.0115 -70.0113 -70.0108 -70.0105
0.04 -70.0067 -70.0098 -70.0113 -70.0113 -70.0134 -70.0141 -70.0141 -70.0145 -70.0145 -70.0141 -70.0138
0.05 -70.0082 -70.0115 -70.0133 -70.0133 -70.0159 -70.0167 -70.0167 -70.0172 -70.0175 -70.0172 -70.017
0.06 -70.0095 -70.0132 -70.0152 -70.0152 -70.0181 -70.0191 -70.0191 -70.0198 -70.0203 -70.0201 -70.0199
0.07 -70.0109 -70.0149 -70.017 -70.017 -70.0202 -70.0213 -70.0213 -70.0222 -70.0229 -70.0228 -70.0227
0.08 -70.0122 -70.0164 -70.0187 -70.0187 -70.0222 -70.0235 -70.0235 -70.0244 -70.0254 -70.0254 -70.0253
0.09 -70.0134 -70.0179 -70.0203 -70.0203 -70.0241 -70.0255 -70.0255 -70.0265 -70.0277 -70.0278 -70.0277
0.1 -70.0146 -70.0193 -70.0219 -70.0219 -70.0259 -70.0274 -70.0274 -70.0286 -70.0299 -70.0301 -70.03
0.11 -70.0158 -70.0207 -70.0234 -70.0234 -70.0277 -70.0292 -70.0292 -70.0305 -70.032 -70.0322 -70.0322
0.12 -70.017 -70.022 -70.0248 -70.0248 -70.0293 -70.031 -70.031 -70.0323 -70.0339 -70.0342 -70.0342
0.13 -70.0181 -70.0233 -70.0262 -70.0262 -70.0309 -70.0327 -70.0327 -70.0341 -70.0358 -70.0362 -70.0362
0.14 -70.0193 -70.0246 -70.0276 -70.0276 -70.0324 -70.0343 -70.0343 -70.0357 -70.0376 -70.038 -70.038
0.15 -70.0204 -70.0258 -70.0289 -70.0289 -70.0339 -70.0358 -70.0358 -70.0373 -70.0393 -70.0398 -70.0398
0.16 -70.0214 -70.027 -70.0302 -70.0302 -70.0353 -70.0373 -70.0373 -70.0389 -70.041 -70.0414 -70.0415
0.17 -70.0225 -70.0282 -70.0314 -70.0314 -70.0367 -70.0387 -70.0387 -70.0404 -70.0425 -70.043 -70.0431
0.18 -70.0235 -70.0293 -70.0326 -70.0326 -70.038 -70.0401 -70.0401 -70.0418 -70.044 -70.0446 -70.0447
0.19 -70.0246 -70.0305 -70.0338 -70.0338 -70.0393 -70.0414 -70.0414 -70.0432 -70.0455 -70.0461 -70.0462
0.2 -70.0256 -70.0316 -70.035 -70.035 -70.0405 -70.0427 -70.0427 -70.0445 -70.0469 -70.0475 -70.0476
0.21 -70.0266 -70.0326 -70.0361 -70.0361 -70.0418 -70.044 -70.044 -70.0458 -70.0483 -70.0489 -70.049
0.22 -70.0275 -70.0337 -70.0372 -70.0372 -70.0429 -70.0452 -70.0452 -70.0471 -70.0496 -70.0503 -70.0504
0.23 -70.0285 -70.0347 -70.0383 -70.0383 -70.0441 -70.0464 -70.0464 -70.0483 -70.0509 -70.0516 -70.0517
0.24 -70.0295 -70.0357 -70.0393 -70.0393 -70.0452 -70.0476 -70.0476 -70.0495 -70.0521 -70.0528 -70.053
0.25 -70.0304 -70.0367 -70.0403 -70.0403 -70.0463 -70.0487 -70.0487 -70.0506 -70.0533 -70.054 -70.0542
0.26 -70.0313 -70.0377 -70.0414 -70.0414 -70.0474 -70.0498 -70.0498 -70.0518 -70.0545 -70.0552 -70.0554
0.27 -70.0322 -70.0387 -70.0424 -70.0424 -70.0485 -70.0509 -70.0509 -70.0529 -70.0556 -70.0564 -70.0566
0.28 -70.0331 -70.0396 -70.0433 -70.0433 -70.0495 -70.0519 -70.0519 -70.054 -70.0568 -70.0575 -70.0577
0.29 -70.034 -70.0406 -70.0443 -70.0443 -70.0505 -70.053 -70.053 -70.055 -70.0579 -70.0586 -70.0588
0.3 -70.0349 -70.0415 -70.0453 -70.0453 -70.0515 -70.054 -70.054 -70.0561 -70.0589 -70.0597 -70.0599
0.31 -70.0358 -70.0424 -70.0462 -70.0462 -70.0525 -70.055 -70.055 -70.0571 -70.06 -70.0608 -70.061
0.32 -70.0367 -70.0433 -70.0471 -70.0471 -70.0535 -70.056 -70.056 -70.0581 -70.061 -70.0618 -70.062
0.33 -70.0375 -70.0442 -70.048 -70.048 -70.0544 -70.057 -70.057 -70.0591 -70.062 -70.0629 -70.0631
0.34 -70.0384 -70.0451 -70.0489 -70.0489 -70.0554 -70.0579 -70.0579 -70.06 -70.063 -70.0639 -70.0641
0.35 -70.0392 -70.0459 -70.0498 -70.0498 -70.0563 -70.0589 -70.0589 -70.061 -70.064 -70.0648 -70.0651
0.36 -70.04 -70.0468 -70.0507 -70.0507 -70.0572 -70.0598 -70.0598 -70.0619 -70.065 -70.0658 -70.066
0.37 -70.0408 -70.0476 -70.0516 -70.0516 -70.0581 -70.0607 -70.0607 -70.0629 -70.0659 -70.0668 -70.067
0.38 -70.0417 -70.0485 -70.0524 -70.0524 -70.059 -70.0616 -70.0616 -70.0638 -70.0668 -70.0677 -70.0679
0.39 -70.0425 -70.0493 -70.0533 -70.0533 -70.0598 -70.0625 -70.0625 -70.0647 -70.0677 -70.0686 -70.0689
0.4 -70.0433 -70.0501 -70.0541 -70.0541 -70.0607 -70.0633 -70.0633 -70.0655 -70.0686 -70.0695 -70.0698
0.41 -70.044 -70.0509 -70.0549 -70.0549 -70.0616 -70.0642 -70.0642 -70.0664 -70.0695 -70.0704 -70.0707
0.42 -70.0448 -70.0517 -70.0557 -70.0557 -70.0624 -70.0651 -70.0651 -70.0673 -70.0704 -70.0713 -70.0716
0.43 -70.0456 -70.0525 -70.0565 -70.0565 -70.0632 -70.0659 -70.0659 -70.0681 -70.0713 -70.0722 -70.0724
0.44 -70.0464 -70.0533 -70.0573 -70.0573 -70.0641 -70.0667 -70.0667 -70.069 -70.0721 -70.0731 -70.0733
0.45 -70.0471 -70.0541 -70.0581 -70.0581 -70.0649 -70.0676 -70.0676 -70.0698 -70.073 -70.0739 -70.0742
0.46 -70.0479 -70.0549 -70.0589 -70.0589 -70.0657 -70.0684 -70.0684 -70.0706 -70.0738 -70.0748 -70.075
0.47 -70.0486 -70.0557 -70.0597 -70.0597 -70.0665 -70.0692 -70.0692 -70.0715 -70.0747 -70.0756 -70.0758
